TemplateType=shoes	Version=2017.0223	Le prime 3 righe sono destinate a uso esclusivo di Amazon.com. Non modificare, né cancellarle prime 3 righe.								Offerta-Informazioni sull'offerta - Attributi obbligatori per rendere il prodotto acquistabile dai clienti sul sito.												Dimensioni-Dimensioni del prodotto - Attributi che specificano le dimensioni e il peso di un prodotto.								Scoperta-Informazioni sulla scoperta del prodotto - Questi attributi influiscono sulla modalit? in cui il cliente pu? trovare i prodotti sul sito mediante navigazione o ricerca.		"Immagini-Informazioni sull'immagine. Si veda la scheda ""Istruzioni per l'immagine"", per maggiori dettagli."										Metodo di gestione-utilizza queste colonne per fornire informazioni riguardanti il metodo di  gestione delle offerte (tramite Logistica di Amazon o auto-gestite dal venditore stesso).							Varianti-Informazioni varianti - Popolare questi attributi se il prodotto ? disponibile in diverse varianti (Per esempio: colore o wattaggio).				Conformit?-Informazioni di conformit? - Attributi utilizzati per conformit? alle leggi a tutela del consumatore nel Paese o nella regione in cui ? venduto l'articolo.	Non raggruppati - Questi attributi di creare elenchi di prodotti ricche per i vostri acquirenti.																			
SKU venditore	Codice prodotto standard	Tipo codice prodotto	Titolo articolo	Marca	Descrizione articolo	Tipo di prodotto	Aggiornamento - Eliminazione	Codice articolo del produttore	Numero di modello	Prezzo articolo	Quantit?	Prezzo scontato	Data inizio sconto	Data fine sconto	Quantit? prodotti per ordine	Disponibilit? messaggio auguri	Disponibilit? confezione regalo	Produzione interrotta	Tempo di evasione ordine	Gruppo Spedizione venditore	Codice fiscale prodotto	Unit? di misura peso di spedizione	Peso di spedizione	Lunghezza articolo	Altezza articolo	Larghezza articolo	Unit? di misura dimensioni del prodotto	Peso articolo	Unit? di misura del peso dell'articolo	Browse node raccomandato	Termini di ricerca	URL immagine principale	URL altre immagini1	URL altre immagini2	URL altre immagini3	URL altre immagini4	URL altre immagini5	URL altre immagini6	URL altre immagini7	URL altre immagini8	URL immagine campione	Altezza pacco	Larghezza pacco	Lunghezza pacco	Unit? di misura dimensioni collo	Peso pacco	Unit? di misura peso collo	Numero centro di distribuzione	Parentela	"SKU ""parent"""	Tipo di relazione	Tema variante	Paese di origine	Genere	Anno del modello	Nome modello	Stile	Colore	Mappatura colore	Taglia	Materiale esterno	Collezione	Stagione	Larghezza Scarpa	Mappatura taglia	Composizione materiale	Materiale interno	Materiale suola	Tipo di tacco	Tipo di chiusura	Tipo di sport	Altezza tacco	Unit? di misura dimensioni scarpa
fines-ToteBag-BGE-BPIU			Unique Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIU	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, flowers, nature, tree, green, florist, gardenersports, jogging, run, active, lifenature, walk, treadmill, flowerpot	http://79.98.29.171/media/generated_images/253177.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIT			If You Think I Am Cute You Should See My Uncle Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIT	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, granny, parent, children, old, lady, grandmotherpregnancy, announcement, thanks, job, donevintage, pun, nice, cool, dope, swag	http://79.98.29.171/media/generated_images/253187.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIS			I'm Two Tired Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIS	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, i, am, wasting, my, life, not, know, how, stopsad, hurt, introvert, nerd, unluckynerd, art, design, pun, nice, fun, face	http://79.98.29.171/media/generated_images/253197.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIR			You Are Too Close Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIR	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, i, can, be, socially, awkward, genioussad, hurt, introvert, nerd, unluckysay, yes, need, help, sadness, fan, hero	http://79.98.29.171/media/generated_images/253207.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIQ			Calm Your Tits Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIQ	12.95	9999																			700516031	"Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, animal, pet, fluffy, cute, love, hug, pawsong, sing, morning, fly, sky, wake, up, nice	nerd, smart, hipster, vintage, awesome, best, top"	http://79.98.29.171/media/generated_images/253217.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIP			Tired As A Human Being Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIP	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, introvert, sad, lonely, hate, emothinking, appreaciate, things, be, richfeel, money, around, you, fuck, hugs	http://79.98.29.171/media/generated_images/253227.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIO			Tiny Miracle Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIO	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, perfect, life, flowers, elephant, happy, fruitsemotion, feel, free, live, class, icongood, life, good, vibes, summer, 2017	http://79.98.29.171/media/generated_images/253237.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIN			Everything's Gonna Be Alright Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIN	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, animal, pet, fluffy, cute, love, hug, pawsong, sing, morning, fly, sky, wake, up, nicenerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253247.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIM			I Am The Gift Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIM	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, surprise, gift, present, birthday, holidayintrovert, kid, family, happy, real, hope, besthallucination, sense, happy, insomnia	http://79.98.29.171/media/generated_images/253257.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIL			Tea Time Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIL	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, media, culture, life, cute, friend, young, lovecat, bear, kid, family, happy, real, hope, bestvintage, hipster, trend, nerd, awesome, cool	http://79.98.29.171/media/generated_images/253267.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIK			Sweeter Than Stawberry Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIK	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, fruit, berry, pasion, red, yammy, deliciousmainstream, raw, paint, green, veganI, love, my, life, healthy, fresh	http://79.98.29.171/media/generated_images/253277.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIJ			Support System Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIJ	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, it, company, manager, help, hacker, cookie, guyschool, teacher, learn, college, university, booknerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253287.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPII			What Is Your Superpower? Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPII	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, i, can, be, socially, awkward, genioussad, hurt, introvert, nerd, unlucky, say, yes, need, help, sadness, fan, hero	http://79.98.29.171/media/generated_images/253297.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIH			Life Succs Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIH	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, i, am, wasting, my, life, not, know, how, stopsad, hurt, introvert, nerd, unlucky, nerd, art, design, pun, nice, fun, face	http://79.98.29.171/media/generated_images/253307.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIG			Stressed Depressed But Well Dressed Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIG	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, fashion, industry, style, flashnice, cool, beauty, slogan, want, to, beface, stylish, fashion, glasses, iconic	http://79.98.29.171/media/generated_images/253317.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIF			I Still Live With Me Parents Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIF	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, smart, learn, star, amazing, change, worldschool, teacher, learn, college, university, booknerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253327.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIE			Stay In School Or This Could Be You Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIE	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, smart, learn, star, amazing, change, worldschool, teacher, learn, college, university, booknerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253337.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPID			Searching Dollar wi-fi parody Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPID	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, need, money, like, wifi, internetsearch, for, job, cash, fast, connectnerd, art, design, pun, nice, fun, face	http://79.98.29.171/media/generated_images/253347.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIC			Whatever Sprincles Your Donuts Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIC	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, food, cake, sweet, heart, love, life, dessertdohnut, don't, doh, pun, whatever, worrynerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253357.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIB			Sorry I Can't. My Plans Really Really Needs Me Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIB	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, blame, hate, give, live, true, friendmistake, not, my, fault, dumbsmart, forget, forgive, yolo	http://79.98.29.171/media/generated_images/253367.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPIA			Sorry I'am Not Sorry Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPIA	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, Blame, hate, give, live, true, friendmistake, not, my, fault, dumbsmart, forget, forgive, yolo	http://79.98.29.171/media/generated_images/253377.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHZ			Blame Society Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHZ	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, hate, government, president, USAnorth, korea, war, III, world, global, crisisfinancial, disaster, fuck, trump, brexit	http://79.98.29.171/media/generated_images/253387.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHY			I AM A SOCIAL VEGAN I AVOID MEET Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHY	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, anti, social, club, hate, to communicateleave, me, alone, introvert, hipster, sadlonely, but, happy, fuck, hugs	http://79.98.29.171/media/generated_images/253397.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHX			The Snuggle Is Real Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHX	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, gift, birthday, present, celebrate, energy, lifefamily, love, hug, cuddle, cute, youngnerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253407.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHW			WWQBD - What Would Queen B Do? Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHW	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, bee, hat, sing, dance, pop, music, single, ladieslemonade, feminism, equal, women, girl, strongnerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253417.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHV			Sloth Says Hi Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHV	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, fast, run, funny, race, speed, kill, car, ridesport, work, out, cardio, strong, best, winnervintage, hipster, trend, nerd, awesome, cool	http://79.98.29.171/media/generated_images/253427.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHU			This Cute Sheepie is Very Very Sleepy Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHU	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, sleep, sheep, need, rest, for, vacationlunatic, nightlife, drunk, sleepy, tirednerd, hipster, nature, lover, heart	http://79.98.29.171/media/generated_images/253437.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHT			Everyone You Hate Will Die Meditating Monk Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHT	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, yoga, budism, buddha, maditation, calm, relaxdumb, stupid, annoy, tired, boring, work, lifenerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253447.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHS			Sleepy Dog Painted Face Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHS	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, animal, pet, fluffy, cute, love, hug, pawanimals, love, wild, life, fur, soft, miaugood, friend, pretty, nice, kind	http://79.98.29.171/media/generated_images/253457.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHR			Zombies Eat Brains, So You Are safe Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHR	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, smart, learn, star, amazing, change, worlddumb, stupid, apocalypse, hero, dead, foolnerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253467.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHQ			Size Of the Bite Your Friend Takes On Your Burger Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHQ	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, burger, jam, yammy, give, me, more, earth, jupiterhungry, angry, jelous, fat, mouth, big, spaceno, money, no, honey, fuck, hugs, galaxy	http://79.98.29.171/media/generated_images/253477.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHP			Be Careful I Like To Shoot People Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHP	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, photography, camera, lens, picture, life, stylevintage, hipster, drawing, cool, gift, awesomenerd, art, design, pun, nice, fun, face	http://79.98.29.171/media/generated_images/253487.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHO			That's What. -She Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHO	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, no, women, please, leave, feminismfault, sad, no, life, hate, you, bitchnerd, smart, hipster, vintage, awesome, best, top	http://79.98.29.171/media/generated_images/253497.png																					Lituania					Beige	Beige	one size					one size								
fines-ToteBag-BGE-BPHN			I'm About To Count Some Sheeps Sacchetto di cotone tela di canapa	Finest Prints	Una borsa per generi alimentari, andare in spiaggia e portare cose in giro.	Handbag	Update		fines-ToteBag-BGE-BPHN	12.95	9999																			700516031	Eco, cotone, puro, biologico, Naturale, hipster, vegano, tela, sleep, sheep, need, rest, for, vacationlunatic, nightlife, drunk, sleepy, tirednerd, hipster, nature, lover, heart	http://79.98.29.171/media/generated_images/253507.png																					Lituania					Beige	Beige	one size					one size								
